code,d,noise,p,model,frac_ones,LER,NC,1-NC,mode,ECR
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,APPNP,0.2223,0.0152,0.0149,0.9851,mixed,56.16
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GCNII,0.4536,0.9851,0.0149,0.9851,mixed,55.62
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,APPNP,0.4053,0.9711,0.0289,0.9711,mixed,75.73
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GCNII,0.5556,0.9711,0.0289,0.9711,mixed,55.85
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,APPNP,0.4444,0.8628,0.1372,0.8628,mixed,66.81
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GCNII,0.8876,0.8628,0.1372,0.8628,mixed,73.05
surface_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,APPNP,0.5582,0.0147,0.0147,0.9853,mixed,66.84
surface_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,GCNII,0.4445,0.9853,0.0147,0.9853,mixed,43.06
surface_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.01,APPNP,0.3296,0.9706,0.0292,0.9708,mixed,66.44
surface_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.01,GCNII,0.7619,0.1687,0.0292,0.9708,mixed,77.7
surface_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.05,APPNP,0.531,0.6866,0.1358,0.8642,mixed,55.64
surface_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.05,GCNII,0.4444,0.8642,0.1358,0.8642,mixed,44.78
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,APPNP,0.7249,0.4783,0.0154,0.9846,mixed,66.62
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GCNII,0.5556,0.9846,0.0154,0.9846,mixed,55.61
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,APPNP,0.2218,0.9666,0.0296,0.9704,mixed,72.88
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GCNII,0.4667,0.0296,0.0296,0.9704,mixed,54.57
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.05,APPNP,0.3097,0.1352,0.1352,0.8648,mixed,50.0
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.05,GCNII,0.5564,0.1407,0.1352,0.8648,mixed,55.74
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.005,APPNP,0.4826,0.0243,0.0243,0.9757,mixed,47.8
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GCNII,0.3008,0.9757,0.0243,0.9757,mixed,24.36
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.01,APPNP,0.48,0.0488,0.0488,0.9512,mixed,44.39
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GCNII,0.4794,0.9512,0.0488,0.9512,mixed,47.98
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.05,APPNP,0.6334,0.2047,0.2047,0.7953,mixed,67.65
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GCNII,0.48,0.2047,0.2047,0.7953,mixed,50.24
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.005,APPNP,0.481,0.8642,0.0251,0.9749,mixed,46.33
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.005,GCNII,0.4,0.0251,0.0251,0.9749,mixed,40.0
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.01,APPNP,0.7913,0.7523,0.0486,0.9514,mixed,79.95
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.01,GCNII,0.44,0.9514,0.0486,0.9514,mixed,44.24
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.05,APPNP,0.3498,0.2036,0.2036,0.7964,mixed,29.17
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.05,GCNII,0.4383,0.2036,0.2036,0.7964,mixed,43.78
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.005,APPNP,0.4,0.9755,0.0245,0.9755,mixed,39.67
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GCNII,0.5448,0.9755,0.0245,0.9755,mixed,56.32
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.01,APPNP,0.5288,0.9527,0.0473,0.9527,mixed,45.91
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GCNII,0.5592,0.9527,0.0473,0.9527,mixed,55.32
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.05,APPNP,0.5319,0.3688,0.2031,0.7969,mixed,52.44
surface_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.05,GCNII,0.56,0.7969,0.2031,0.7969,mixed,56.41
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,APPNP,0.7143,0.9852,0.0148,0.9852,mixed,72.01
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GCNII,0.4286,0.9852,0.0148,0.9852,mixed,43.55
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,APPNP,0.4733,0.9711,0.0288,0.9712,mixed,71.84
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GCNII,0.4286,0.9712,0.0288,0.9712,mixed,43.15
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,APPNP,0.8571,0.8641,0.1358,0.8642,mixed,85.48
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GCNII,0.4286,0.1358,0.1358,0.8642,mixed,42.75
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,APPNP,0.5714,0.9848,0.0152,0.9848,mixed,55.97
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,GCNII,0.2857,0.9848,0.0152,0.9848,mixed,30.12
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.01,APPNP,0.5268,0.9705,0.0295,0.9705,mixed,56.89
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.01,GCNII,0.4286,0.9705,0.0295,0.9705,mixed,30.33
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.05,APPNP,0.8571,0.1354,0.1354,0.8646,mixed,85.87
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.05,GCNII,0.4286,0.1354,0.1354,0.8646,mixed,42.6
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,APPNP,0.7143,0.9852,0.0148,0.9852,mixed,70.12
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GCNII,0.2857,0.9852,0.0148,0.9852,mixed,27.91
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,APPNP,0.7143,0.0295,0.0295,0.9705,mixed,72.54
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GCNII,0.2857,0.9705,0.0295,0.9705,mixed,21.64
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.05,APPNP,0.2857,0.8656,0.1344,0.8656,mixed,23.49
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.05,GCNII,0.2402,0.8656,0.1344,0.8656,mixed,28.03
color_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.005,APPNP,0.3275,0.9745,0.0255,0.9745,mixed,48.48
color_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GCNII,0.6842,0.9745,0.0255,0.9745,mixed,73.4
color_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.01,APPNP,0.368,0.9508,0.0492,0.9508,mixed,61.05
color_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GCNII,0.3684,0.9508,0.0492,0.9508,mixed,63.18
color_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.05,APPNP,0.4303,0.3856,0.2073,0.7927,mixed,51.87
color_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GCNII,0.3684,0.7927,0.2073,0.7927,mixed,57.66
