Model,Distance,Num_Rounds,Backend,Run,Shots,Stim_Error_Rate,Stim_Error_Type,Weight_Noise,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
No_Correction,3,3,ibm_aachen,1,1000,0.0,,,0.288,1000,288,20260428_213814
MWPM,3,3,ibm_aachen,1,1000,0.0,,,0.447,1000,447,20260428_213814
CNN,3,3,ibm_aachen,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.499,1000,499,20260428_213814
MWPM+CNN,3,3,ibm_aachen,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.534,1000,534,20260428_213814
CNN+MWPM,3,3,ibm_aachen,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.496,1000,496,20260428_213814
CNN,3,3,ibm_aachen,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.643,1000,643,20260428_213814
MWPM+CNN,3,3,ibm_aachen,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.534,1000,534,20260428_213814
CNN+MWPM,3,3,ibm_aachen,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.57,1000,570,20260428_213814
CNN,3,3,ibm_aachen,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.638,1000,638,20260428_213814
MWPM+CNN,3,3,ibm_aachen,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.534,1000,534,20260428_213814
CNN+MWPM,3,3,ibm_aachen,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.558,1000,558,20260428_213814
GCNII,3,3,ibm_aachen,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.392,1000,392,20260428_213814
MWPM+GCNII,3,3,ibm_aachen,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.534,1000,534,20260428_213814
GCNII+MWPM,3,3,ibm_aachen,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.453,1000,453,20260428_213814
GCNII,3,3,ibm_aachen,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.288,1000,288,20260428_213814
MWPM+GCNII,3,3,ibm_aachen,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.447,1000,447,20260428_213814
GCNII+MWPM,3,3,ibm_aachen,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.438,1000,438,20260428_213814
GCNII,3,3,ibm_aachen,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.288,1000,288,20260428_213814
MWPM+GCNII,3,3,ibm_aachen,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.447,1000,447,20260428_213814
GCNII+MWPM,3,3,ibm_aachen,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.471,1000,471,20260428_213814
APPNP,3,3,ibm_aachen,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.291,1000,291,20260428_213814
MWPM+APPNP,3,3,ibm_aachen,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.447,1000,447,20260428_213814
APPNP+MWPM,3,3,ibm_aachen,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.478,1000,478,20260428_213814
APPNP,3,3,ibm_aachen,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.288,1000,288,20260428_213814
MWPM+APPNP,3,3,ibm_aachen,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.447,1000,447,20260428_213814
APPNP+MWPM,3,3,ibm_aachen,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.419,1000,419,20260428_213814
APPNP,3,3,ibm_aachen,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.712,1000,712,20260428_213814
MWPM+APPNP,3,3,ibm_aachen,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.534,1000,534,20260428_213814
APPNP+MWPM,3,3,ibm_aachen,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.535,1000,535,20260428_213814
GraphTransformer,3,3,ibm_aachen,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.299,1000,299,20260428_213814
MWPM+GraphTransformer,3,3,ibm_aachen,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.447,1000,447,20260428_213814
GraphTransformer+MWPM,3,3,ibm_aachen,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.428,1000,428,20260428_213814
GraphTransformer,3,3,ibm_aachen,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.296,1000,296,20260428_213814
