Model,Distance,Num_Rounds,Backend,Run,Shots,Stim_Error_Rate,Stim_Error_Type,Weight_Noise,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
No_Correction,3,3,ibm_boston,1,1000,0.0,,,0.33,1000,330,20260428_215259
MWPM,3,3,ibm_boston,1,1000,0.0,,,0.467,1000,467,20260428_215259
CNN,3,3,ibm_boston,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.46,1000,460,20260428_215259
MWPM+CNN,3,3,ibm_boston,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.47,1000,470,20260428_215259
CNN+MWPM,3,3,ibm_boston,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.437,1000,437,20260428_215259
CNN,3,3,ibm_boston,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.614,1000,614,20260428_215259
MWPM+CNN,3,3,ibm_boston,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.47,1000,470,20260428_215259
CNN+MWPM,3,3,ibm_boston,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.68,1000,680,20260428_215259
CNN,3,3,ibm_boston,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.603,1000,603,20260428_215259
MWPM+CNN,3,3,ibm_boston,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.47,1000,470,20260428_215259
CNN+MWPM,3,3,ibm_boston,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.646,1000,646,20260428_215259
GCNII,3,3,ibm_boston,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.402,1000,402,20260428_215259
MWPM+GCNII,3,3,ibm_boston,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.47,1000,470,20260428_215259
GCNII+MWPM,3,3,ibm_boston,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.262,1000,262,20260428_215259
GCNII,3,3,ibm_boston,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.33,1000,330,20260428_215259
MWPM+GCNII,3,3,ibm_boston,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.467,1000,467,20260428_215259
GCNII+MWPM,3,3,ibm_boston,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.256,1000,256,20260428_215259
GCNII,3,3,ibm_boston,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.33,1000,330,20260428_215259
MWPM+GCNII,3,3,ibm_boston,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.467,1000,467,20260428_215259
GCNII+MWPM,3,3,ibm_boston,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.671,1000,671,20260428_215259
APPNP,3,3,ibm_boston,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.335,1000,335,20260428_215259
MWPM+APPNP,3,3,ibm_boston,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.467,1000,467,20260428_215259
APPNP+MWPM,3,3,ibm_boston,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.658,1000,658,20260428_215259
APPNP,3,3,ibm_boston,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.33,1000,330,20260428_215259
MWPM+APPNP,3,3,ibm_boston,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.467,1000,467,20260428_215259
APPNP+MWPM,3,3,ibm_boston,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.254,1000,254,20260428_215259
APPNP,3,3,ibm_boston,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.67,1000,670,20260428_215259
MWPM+APPNP,3,3,ibm_boston,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.47,1000,470,20260428_215259
APPNP+MWPM,3,3,ibm_boston,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.336,1000,336,20260428_215259
GraphTransformer,3,3,ibm_boston,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.328,1000,328,20260428_215259
MWPM+GraphTransformer,3,3,ibm_boston,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.467,1000,467,20260428_215259
