Model,Distance,Num_Rounds,Backend,Run,Shots,Stim_Error_Rate,Stim_Error_Type,Weight_Noise,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
No_Correction,3,3,ibm_miami,1,1000,0.0,,,0.447,1000,447,20260427_154239
MWPM,3,3,ibm_miami,1,1000,0.0,,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.467,1000,467,20260427_154239
CNN,3,3,ibm_miami,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.454,1000,454,20260427_154239
MWPM+CNN,3,3,ibm_miami,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.467,1000,467,20260427_154239
CNN,3,3,ibm_miami,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.455,1000,455,20260427_154239
MWPM+CNN,3,3,ibm_miami,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.467,1000,467,20260427_154239
CNN,3,3,ibm_miami,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.457,1000,457,20260427_154239
MWPM+CNN,3,3,ibm_miami,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.467,1000,467,20260427_154239
GCNII,3,3,ibm_miami,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.551,1000,551,20260427_154239
MWPM+GCNII,3,3,ibm_miami,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.454,1000,454,20260427_154239
GCNII,3,3,ibm_miami,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.553,1000,553,20260427_154239
MWPM+GCNII,3,3,ibm_miami,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.454,1000,454,20260427_154239
GCNII,3,3,ibm_miami,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.553,1000,553,20260427_154239
MWPM+GCNII,3,3,ibm_miami,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.454,1000,454,20260427_154239
APPNP,3,3,ibm_miami,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.446,1000,446,20260427_154239
MWPM+APPNP,3,3,ibm_miami,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.467,1000,467,20260427_154239
APPNP,3,3,ibm_miami,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.553,1000,553,20260427_154239
MWPM+APPNP,3,3,ibm_miami,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.454,1000,454,20260427_154239
APPNP,3,3,ibm_miami,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.553,1000,553,20260427_154239
MWPM+APPNP,3,3,ibm_miami,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.454,1000,454,20260427_154239
GraphTransformer,3,3,ibm_miami,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.446,1000,446,20260427_154239
MWPM+GraphTransformer,3,3,ibm_miami,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.467,1000,467,20260427_154239
GraphTransformer,3,3,ibm_miami,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.446,1000,446,20260427_154239
MWPM+GraphTransformer,3,3,ibm_miami,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.467,1000,467,20260427_154239
GraphTransformer,3,3,ibm_miami,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.45,1000,450,20260427_154239
MWPM+GraphTransformer,3,3,ibm_miami,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.467,1000,467,20260427_154239
GCN,3,3,ibm_miami,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.453,1000,453,20260427_154239
MWPM+GCN,3,3,ibm_miami,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.467,1000,467,20260427_154239
GCN,3,3,ibm_miami,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.534,1000,534,20260427_154239
MWPM+GCN,3,3,ibm_miami,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.475,1000,475,20260427_154239
GCN,3,3,ibm_miami,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.447,1000,447,20260427_154239
MWPM+GCN,3,3,ibm_miami,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.467,1000,467,20260427_154239
GAT,3,3,ibm_miami,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.448,1000,448,20260427_154239
MWPM+GAT,3,3,ibm_miami,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.467,1000,467,20260427_154239
GAT,3,3,ibm_miami,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.459,1000,459,20260427_154239
MWPM+GAT,3,3,ibm_miami,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.467,1000,467,20260427_154239
GAT,3,3,ibm_miami,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.451,1000,451,20260427_154239
MWPM+GAT,3,3,ibm_miami,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.467,1000,467,20260427_154239
GNN,3,3,ibm_miami,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.466,1000,466,20260427_154239
MWPM+GNN,3,3,ibm_miami,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.468,1000,468,20260427_154239
GNN,3,3,ibm_miami,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.496,1000,496,20260427_154239
MWPM+GNN,3,3,ibm_miami,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.467,1000,467,20260427_154239
GNN,3,3,ibm_miami,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.458,1000,458,20260427_154239
MWPM+GNN,3,3,ibm_miami,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.462,1000,462,20260427_154239
GraphMamba,3,3,ibm_miami,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.448,1000,448,20260427_154239
MWPM+GraphMamba,3,3,ibm_miami,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.467,1000,467,20260427_154239
GraphMamba,3,3,ibm_miami,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.445,1000,445,20260427_154239
MWPM+GraphMamba,3,3,ibm_miami,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.467,1000,467,20260427_154239
GraphMamba,3,3,ibm_miami,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.445,1000,445,20260427_154239
