Model,Distance,Num_Rounds,Backend,Run,Shots,Stim_Error_Rate,Stim_Error_Type,Weight_Noise,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
No_Correction,3,3,ibm_pittsburgh,1,1000,0.0,,,0.534,1000,534,20260428_221359
MWPM,3,3,ibm_pittsburgh,1,1000,0.0,,,0.511,1000,511,20260428_221359
CNN,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.474,1000,474,20260428_221359
MWPM+CNN,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.429,1000,429,20260428_221359
CNN+MWPM,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.439,1000,439,20260428_221359
CNN,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.499,1000,499,20260428_221359
MWPM+CNN,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.429,1000,429,20260428_221359
CNN+MWPM,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.621,1000,621,20260428_221359
CNN,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.509,1000,509,20260428_221359
MWPM+CNN,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.429,1000,429,20260428_221359
CNN+MWPM,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.636,1000,636,20260428_221359
GCNII,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.53,1000,530,20260428_221359
MWPM+GCNII,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.429,1000,429,20260428_221359
GCNII+MWPM,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.302,1000,302,20260428_221359
GCNII,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.534,1000,534,20260428_221359
MWPM+GCNII,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.511,1000,511,20260428_221359
GCNII+MWPM,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.313,1000,313,20260428_221359
GCNII,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.534,1000,534,20260428_221359
MWPM+GCNII,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.511,1000,511,20260428_221359
