code,distance,noise_profile,error_rate,model,sim_LER,n_shots
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,NoCorrection,0.014870,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,MWPM,0.140410,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,MWPM_mv,0.092000,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,CNN,0.078170,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GCN,0.122650,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GCNII,0.985100,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GAT,0.123750,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,APPNP,0.015150,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GNN,0.374000,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GraphTransformer,0.027340,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GraphMamba,0.028400,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,NoCorrection,0.028930,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,MWPM,0.141950,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,MWPM_mv,0.094170,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,CNN,0.091030,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GCN,0.612570,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GCNII,0.971070,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GAT,0.091590,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,APPNP,0.971070,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GNN,0.364860,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GraphTransformer,0.040960,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GraphMamba,0.042790,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,NoCorrection,0.137220,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,MWPM,0.179600,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,MWPM_mv,0.129850,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,CNN,0.175890,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GCN,0.137220,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GCNII,0.862780,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GAT,0.185540,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,APPNP,0.862780,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GNN,0.183770,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GraphTransformer,0.131270,100000
surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GraphMamba,0.129640,100000
surface_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,NoCorrection,0.014680,100000
surface_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,MWPM,0.213410,100000
surface_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,MWPM_mv,0.161400,100000
surface_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,CNN,0.131890,100000
surface_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,GCN,0.068120,100000
surface_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,GCNII,0.985320,100000
surface_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,GAT,0.126660,100000
