Model,Distance,Num_Rounds,Backend,Run,Shots,Stim_Error_Rate,Stim_Error_Type,Weight_Noise,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
No_Correction,3,3,ibm_aachen,1,1000,0.0,,,0.281,1000,281,20260415_210247
MWPM,3,3,ibm_aachen,1,1000,0.0,,,0.438,1000,438,20260415_210247
CNN,3,3,ibm_aachen,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.482,1000,482,20260415_210247
MWPM+CNN,3,3,ibm_aachen,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.496,1000,496,20260415_210247
CNN,3,3,ibm_aachen,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.655,1000,655,20260415_210247
MWPM+CNN,3,3,ibm_aachen,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.496,1000,496,20260415_210247
CNN,3,3,ibm_aachen,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.649,1000,649,20260415_210247
MWPM+CNN,3,3,ibm_aachen,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.496,1000,496,20260415_210247
GCNII,3,3,ibm_aachen,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.373,1000,373,20260415_210247
MWPM+GCNII,3,3,ibm_aachen,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.496,1000,496,20260415_210247
GCNII,3,3,ibm_aachen,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.281,1000,281,20260415_210247
MWPM+GCNII,3,3,ibm_aachen,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.438,1000,438,20260415_210247
GCNII,3,3,ibm_aachen,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.281,1000,281,20260415_210247
