Model,Distance,Num_Rounds,Backend,Run,Shots,Stim_Error_Rate,Stim_Error_Type,Weight_Noise,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
No_Correction,3,3,ibm_boston,1,1000,0.0,,,0.211,1000,211,20260419_194811
MWPM,3,3,ibm_boston,1,1000,0.0,,,0.424,1000,424,20260419_194811
CNN,3,3,ibm_boston,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.514,1000,514,20260419_194811
MWPM+CNN,3,3,ibm_boston,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.49,1000,490,20260419_194811
CNN,3,3,ibm_boston,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.71,1000,710,20260419_194811
MWPM+CNN,3,3,ibm_boston,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.49,1000,490,20260419_194811
CNN,3,3,ibm_boston,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.706,1000,706,20260419_194811
MWPM+CNN,3,3,ibm_boston,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.49,1000,490,20260419_194811
GCNII,3,3,ibm_boston,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.378,1000,378,20260419_194811
MWPM+GCNII,3,3,ibm_boston,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.49,1000,490,20260419_194811
GCNII,3,3,ibm_boston,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.211,1000,211,20260419_194811
MWPM+GCNII,3,3,ibm_boston,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.424,1000,424,20260419_194811
GCNII,3,3,ibm_boston,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.211,1000,211,20260419_194811
MWPM+GCNII,3,3,ibm_boston,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.424,1000,424,20260419_194811
APPNP,3,3,ibm_boston,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.219,1000,219,20260419_194811
MWPM+APPNP,3,3,ibm_boston,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.424,1000,424,20260419_194811
APPNP,3,3,ibm_boston,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.211,1000,211,20260419_194811
MWPM+APPNP,3,3,ibm_boston,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.424,1000,424,20260419_194811
APPNP,3,3,ibm_boston,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.789,1000,789,20260419_194811
MWPM+APPNP,3,3,ibm_boston,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.49,1000,490,20260419_194811
GraphTransformer,3,3,ibm_boston,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.2,1000,200,20260419_194811
MWPM+GraphTransformer,3,3,ibm_boston,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.424,1000,424,20260419_194811
GraphTransformer,3,3,ibm_boston,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.202,1000,202,20260419_194811
