Model,Distance,Num_Rounds,Backend,Run,Shots,Stim_Error_Rate,Stim_Error_Type,Weight_Noise,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
No_Correction,3,3,ibm_pittsburgh,1,1000,0.0,,,0.227,1000,227,20260416_001805
MWPM,3,3,ibm_pittsburgh,1,1000,0.0,,,0.408,1000,408,20260416_001805
CNN,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.52,1000,520,20260416_001805
MWPM+CNN,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.565,1000,565,20260416_001805
CNN,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.692,1000,692,20260416_001805
MWPM+CNN,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.565,1000,565,20260416_001805
CNN,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.692,1000,692,20260416_001805
MWPM+CNN,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.565,1000,565,20260416_001805
GCNII,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.38,1000,380,20260416_001805
MWPM+GCNII,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.565,1000,565,20260416_001805
GCNII,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.227,1000,227,20260416_001805
MWPM+GCNII,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.408,1000,408,20260416_001805
GCNII,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.227,1000,227,20260416_001805
MWPM+GCNII,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.408,1000,408,20260416_001805
APPNP,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.233,1000,233,20260416_001805
MWPM+APPNP,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.408,1000,408,20260416_001805
APPNP,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.227,1000,227,20260416_001805
MWPM+APPNP,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.408,1000,408,20260416_001805
APPNP,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.773,1000,773,20260416_001805
MWPM+APPNP,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.565,1000,565,20260416_001805
GraphTransformer,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.235,1000,235,20260416_001805
MWPM+GraphTransformer,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.408,1000,408,20260416_001805
GraphTransformer,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.231,1000,231,20260416_001805
MWPM+GraphTransformer,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.408,1000,408,20260416_001805
GraphTransformer,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.239,1000,239,20260416_001805
MWPM+GraphTransformer,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.408,1000,408,20260416_001805
GCN,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.5,1000,500,20260416_001805
MWPM+GCN,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.565,1000,565,20260416_001805
GCN,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.587,1000,587,20260416_001805
MWPM+GCN,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.521,1000,521,20260416_001805
GCN,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.683,1000,683,20260416_001805
MWPM+GCN,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.522,1000,522,20260416_001805
GAT,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.628,1000,628,20260416_001805
MWPM+GAT,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.565,1000,565,20260416_001805
GAT,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.757,1000,757,20260416_001805
MWPM+GAT,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.549,1000,549,20260416_001805
GAT,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.761,1000,761,20260416_001805
MWPM+GAT,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.565,1000,565,20260416_001805
GNN,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.773,1000,773,20260416_001805
MWPM+GNN,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.565,1000,565,20260416_001805
GNN,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.356,1000,356,20260416_001805
MWPM+GNN,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.408,1000,408,20260416_001805
GNN,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.768,1000,768,20260416_001805
MWPM+GNN,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.565,1000,565,20260416_001805
GraphMamba,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.233,1000,233,20260416_001805
MWPM+GraphMamba,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.408,1000,408,20260416_001805
GraphMamba,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.235,1000,235,20260416_001805
MWPM+GraphMamba,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.408,1000,408,20260416_001805
GraphMamba,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.241,1000,241,20260416_001805
MWPM+GraphMamba,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.408,1000,408,20260416_001805
CNN,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.512,1000,512,20260416_001805
MWPM+CNN,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.554,1000,554,20260416_001805
CNN,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.583,1000,583,20260416_001805
MWPM+CNN,3,3,ibm_pittsburgh,1,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.495,1000,495,20260416_001805
CNN,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.729,1000,729,20260416_001805
MWPM+CNN,3,3,ibm_pittsburgh,1,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.565,1000,565,20260416_001805
GCNII,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.773,1000,773,20260416_001805
MWPM+GCNII,3,3,ibm_pittsburgh,1,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.565,1000,565,20260416_001805
