Model,Distance,Num_Rounds,Noise_Model,Run,Shots,Stim_Error_Rate,Stim_Error_Type,Weight_Noise,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
No_Correction,3,3,forte-1,1,1000,0.0,,,0.161,1000,161,20260415_210004
MWPM_Restriction,3,3,forte-1,1,1000,0.0,,,0.135,1000,135,20260415_210004
CNN,3,3,forte-1,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.185,1000,185,20260415_210004
MWPM+CNN,3,3,forte-1,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.139,1000,139,20260415_210004
CNN,3,3,forte-1,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.201,1000,201,20260415_210004
MWPM+CNN,3,3,forte-1,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.14,1000,140,20260415_210004
CNN,3,3,forte-1,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.177,1000,177,20260415_210004
MWPM+CNN,3,3,forte-1,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.137,1000,137,20260415_210004
GCNII,3,3,forte-1,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.161,1000,161,20260415_210004
MWPM+GCNII,3,3,forte-1,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.135,1000,135,20260415_210004
GCNII,3,3,forte-1,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.161,1000,161,20260415_210004
MWPM+GCNII,3,3,forte-1,1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.135,1000,135,20260415_210004
GCNII,3,3,forte-1,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.161,1000,161,20260415_210004
MWPM+GCNII,3,3,forte-1,1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.135,1000,135,20260415_210004
APPNP,3,3,forte-1,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.161,1000,161,20260415_210004
MWPM+APPNP,3,3,forte-1,1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.135,1000,135,20260415_210004
