code,noise,Distance,Error_Rate(p),Error_Type,model,Best_ECR(%),Accuracy(%),Inference_Time(ms),Epochs,Learning_Rate,Train_Loss,Val_Loss
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.005,X,APPNP,72.01,20.78,0.0006,1,0.001,,17523733.653061
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.005,X,APPNP,72.01,20.78,0.0007,2,0.001,,17523733.653061
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.005,X,APPNP,72.01,20.78,0.0007,3,0.001,,17523733.653061
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.005,X,APPNP,72.01,20.78,0.0007,4,0.001,,17523733.653061
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.005,X,APPNP,72.01,20.78,0.0007,5,0.001,,17523733.653061
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.005,X,APPNP,72.01,20.78,0.0007,6,0.001,,17523733.653061
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.01,X,APPNP,71.84,29.03,0.0007,1,0.001,,23146194.285714
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.01,X,APPNP,71.84,29.03,0.0007,2,0.001,,23146194.285714
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.01,X,APPNP,71.84,29.03,0.0007,3,0.001,,23146194.285714
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.01,X,APPNP,71.84,29.03,0.0007,4,0.001,,23146194.285714
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.01,X,APPNP,71.84,29.03,0.0007,5,0.001,,23146194.285714
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.01,X,APPNP,71.84,29.03,0.0007,6,0.001,,23146194.285714
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.05,X,APPNP,85.48,17.82,0.0005,1,0.001,,15614266.265306
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.05,X,APPNP,85.48,17.82,0.0005,2,0.001,,15614266.265306
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.05,X,APPNP,85.48,17.82,0.0007,3,0.001,,15614266.265306
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.05,X,APPNP,85.48,17.82,0.0007,4,0.001,,15614266.265306
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.05,X,APPNP,85.48,17.82,0.0007,5,0.001,,15614266.265306
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.05,X,APPNP,85.48,17.82,0.0007,6,0.001,,15614266.265306
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.005,X,APPNP,61.85,38.05,0.0003,1,0.001,,4052285732.571429
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.005,X,APPNP,61.85,38.05,0.0003,2,0.001,,4052285732.571429
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.005,X,APPNP,61.85,38.05,0.0003,3,0.001,,4052285732.571429
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.005,X,APPNP,61.85,38.05,0.0003,4,0.001,,4052285732.571429
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.005,X,APPNP,61.85,38.05,0.0003,5,0.001,,4052285732.571429
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.005,X,APPNP,61.85,38.05,0.0003,6,0.001,,4052285732.571429
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.01,X,APPNP,56.88,43.38,0.0003,1,0.001,,4827417861.22449
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.01,X,APPNP,56.88,43.38,0.0003,2,0.001,,4827417861.22449
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.01,X,APPNP,56.88,43.38,0.0003,3,0.001,,4827417861.22449
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.01,X,APPNP,56.88,43.38,0.0003,4,0.001,,4827417861.22449
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.01,X,APPNP,56.88,43.38,0.0003,5,0.001,,4827417861.22449
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.01,X,APPNP,56.88,43.38,0.0003,6,0.001,,4827417861.22449
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.05,X,APPNP,46.37,53.16,0.0003,1,0.001,,3074946429.387755
