Model,Distance,Num_Rounds,Backend,Shots,Stim_Error_Rate,Stim_Error_Type,Weight_Noise,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
No_Correction,3,3,ibm_aachen,1000,0,N/A,N/A,0.274000,1000,274,20260428_214539
MWPM,3,3,ibm_aachen,1000,0,N/A,N/A,0.451000,1000,451,20260428_214539
CNN,3,3,ibm_aachen,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.507000,1000,507,20260428_214539
MWPM+CNN,3,3,ibm_aachen,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.537000,1000,537,20260428_214539
CNN+MWPM,3,3,ibm_aachen,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.504000,1000,504,20260428_214539
CNN,3,3,ibm_aachen,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.645000,1000,645,20260428_214539
MWPM+CNN,3,3,ibm_aachen,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.537000,1000,537,20260428_214539
CNN+MWPM,3,3,ibm_aachen,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.538000,1000,538,20260428_214539
CNN,3,3,ibm_aachen,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.659000,1000,659,20260428_214539
MWPM+CNN,3,3,ibm_aachen,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.537000,1000,537,20260428_214539
CNN+MWPM,3,3,ibm_aachen,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.525000,1000,525,20260428_214539
GCNII,3,3,ibm_aachen,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.390000,1000,390,20260428_214539
MWPM+GCNII,3,3,ibm_aachen,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.537000,1000,537,20260428_214539
GCNII+MWPM,3,3,ibm_aachen,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.461000,1000,461,20260428_214539
GCNII,3,3,ibm_aachen,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.274000,1000,274,20260428_214539
MWPM+GCNII,3,3,ibm_aachen,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.451000,1000,451,20260428_214539
GCNII+MWPM,3,3,ibm_aachen,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.441000,1000,441,20260428_214539
GCNII,3,3,ibm_aachen,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.274000,1000,274,20260428_214539
MWPM+GCNII,3,3,ibm_aachen,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.451000,1000,451,20260428_214539
GCNII+MWPM,3,3,ibm_aachen,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.450000,1000,450,20260428_214539
APPNP,3,3,ibm_aachen,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.275000,1000,275,20260428_214539
MWPM+APPNP,3,3,ibm_aachen,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.451000,1000,451,20260428_214539
APPNP+MWPM,3,3,ibm_aachen,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.429000,1000,429,20260428_214539
APPNP,3,3,ibm_aachen,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.274000,1000,274,20260428_214539
MWPM+APPNP,3,3,ibm_aachen,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.451000,1000,451,20260428_214539
APPNP+MWPM,3,3,ibm_aachen,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.454000,1000,454,20260428_214539
APPNP,3,3,ibm_aachen,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.726000,1000,726,20260428_214539
