Model,Distance,Num_Rounds,Backend,Shots,Stim_Error_Rate,Stim_Error_Type,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
GraphTransformer,3,3,ibm_yonsei,1000,0.005,X,0.478000,1000,478,20260326_143657
GraphTransformer,3,3,ibm_yonsei,1000,0.01,X,0.488000,1000,488,20260326_143657
GraphTransformer,3,3,ibm_yonsei,1000,0.05,X,0.484000,1000,484,20260326_143657
GraphMamba,3,3,ibm_yonsei,1000,0.005,X,0.482000,1000,482,20260326_143657
GraphMamba,3,3,ibm_yonsei,1000,0.01,X,0.479000,1000,479,20260326_143657
GraphMamba,3,3,ibm_yonsei,1000,0.05,X,0.485000,1000,485,20260326_143657
GCN,3,3,ibm_yonsei,1000,0.005,X,0.483000,1000,483,20260326_143657
GCN,3,3,ibm_yonsei,1000,0.01,X,0.500000,1000,500,20260326_143657
GCN,3,3,ibm_yonsei,1000,0.05,X,0.515000,1000,515,20260326_143657
GAT,3,3,ibm_yonsei,1000,0.005,X,0.494000,1000,494,20260326_143657
GAT,3,3,ibm_yonsei,1000,0.01,X,0.508000,1000,508,20260326_143657
GAT,3,3,ibm_yonsei,1000,0.05,X,0.509000,1000,509,20260326_143657
GNN,3,3,ibm_yonsei,1000,0.005,X,0.483000,1000,483,20260326_143657
GNN,3,3,ibm_yonsei,1000,0.01,X,0.484000,1000,484,20260326_143657
GNN,3,3,ibm_yonsei,1000,0.05,X,0.484000,1000,484,20260326_143657
