Model,Distance,Num_Rounds,Backend,Shots,Stim_Error_Rate,Stim_Error_Type,Weight_Noise,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
No_Correction,3,3,ibm_yonsei,1000,0,N/A,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.000000,1000,0,20260330_211917
CNN,3,3,ibm_yonsei,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.000000,1000,0,20260330_211917
CNN,3,3,ibm_yonsei,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.000000,1000,0,20260330_211917
CNN,3,3,ibm_yonsei,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,1.000000,1000,1000,20260330_211917
GCN,3,3,ibm_yonsei,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.874000,1000,874,20260330_211917
GCN,3,3,ibm_yonsei,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.000000,1000,0,20260330_211917
GCN,3,3,ibm_yonsei,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,1.000000,1000,1000,20260330_211917
GCNII,3,3,ibm_yonsei,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,1.000000,1000,1000,20260330_211917
GCNII,3,3,ibm_yonsei,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,1.000000,1000,1000,20260330_211917
GCNII,3,3,ibm_yonsei,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.000000,1000,0,20260330_211917
GAT,3,3,ibm_yonsei,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.492000,1000,492,20260330_211917
GAT,3,3,ibm_yonsei,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.249000,1000,249,20260330_211917
GAT,3,3,ibm_yonsei,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.492000,1000,492,20260330_211917
APPNP,3,3,ibm_yonsei,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.000000,1000,0,20260330_211917
APPNP,3,3,ibm_yonsei,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.000000,1000,0,20260330_211917
APPNP,3,3,ibm_yonsei,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,1.000000,1000,1000,20260330_211917
GNN,3,3,ibm_yonsei,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.128000,1000,128,20260330_211917
GNN,3,3,ibm_yonsei,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.613000,1000,613,20260330_211917
GNN,3,3,ibm_yonsei,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.000000,1000,0,20260330_211917
GraphTransformer,3,3,ibm_yonsei,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.000000,1000,0,20260330_211917
GraphTransformer,3,3,ibm_yonsei,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.000000,1000,0,20260330_211917
GraphTransformer,3,3,ibm_yonsei,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.000000,1000,0,20260330_211917
GraphMamba,3,3,ibm_yonsei,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.000000,1000,0,20260330_211917
GraphMamba,3,3,ibm_yonsei,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.505000,1000,505,20260330_211917
GraphMamba,3,3,ibm_yonsei,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.578000,1000,578,20260330_211917
