Model,Distance,Num_Rounds,Backend,Shots,Stim_Error_Rate,Stim_Error_Type,Weight_Noise,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
No_Correction,3,3,ibm_boston,1000,0,N/A,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.259000,1000,259,20260410_083745
CNN,3,3,ibm_boston,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.483000,1000,483,20260410_083745
CNN,3,3,ibm_boston,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.694000,1000,694,20260410_083745
CNN,3,3,ibm_boston,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.633000,1000,633,20260410_083745
GCNII,3,3,ibm_boston,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.741000,1000,741,20260410_083745
GCNII,3,3,ibm_boston,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.741000,1000,741,20260410_083745
GCNII,3,3,ibm_boston,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.259000,1000,259,20260410_083745
APPNP,3,3,ibm_boston,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.259000,1000,259,20260410_083745
APPNP,3,3,ibm_boston,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.259000,1000,259,20260410_083745
APPNP,3,3,ibm_boston,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.259000,1000,259,20260410_083745
GraphTransformer,3,3,ibm_boston,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.259000,1000,259,20260410_083745
GraphTransformer,3,3,ibm_boston,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.259000,1000,259,20260410_083745
GraphTransformer,3,3,ibm_boston,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.262000,1000,262,20260410_083745
GCN,3,3,ibm_boston,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.418000,1000,418,20260410_083745
GCN,3,3,ibm_boston,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.550000,1000,550,20260410_083745
GCN,3,3,ibm_boston,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.465000,1000,465,20260410_083745
GAT,3,3,ibm_boston,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.592000,1000,592,20260410_083745
GAT,3,3,ibm_boston,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.449000,1000,449,20260410_083745
GAT,3,3,ibm_boston,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.439000,1000,439,20260410_083745
GNN,3,3,ibm_boston,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.731000,1000,731,20260410_083745
GNN,3,3,ibm_boston,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.249000,1000,249,20260410_083745
GNN,3,3,ibm_boston,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.476000,1000,476,20260410_083745
GraphMamba,3,3,ibm_boston,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.260000,1000,260,20260410_083745
GraphMamba,3,3,ibm_boston,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.259000,1000,259,20260410_083745
GraphMamba,3,3,ibm_boston,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.258000,1000,258,20260410_083745
