Model,Distance,Num_Rounds,Noise_Model,Shots,Stim_Error_Rate,Stim_Error_Type,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
CNN,3,3,forte-1,1000,0.005,X,0.223000,1000,223,20260325_205221
CNN,3,3,forte-1,1000,0.01,X,0.838000,1000,838,20260325_205221
CNN,3,3,forte-1,1000,0.05,X,0.838000,1000,838,20260325_205221
GCNII,3,3,forte-1,1000,0.005,X,0.162000,1000,162,20260325_205221
GCNII,3,3,forte-1,1000,0.01,X,0.162000,1000,162,20260325_205221
GCNII,3,3,forte-1,1000,0.05,X,0.162000,1000,162,20260325_205221
APPNP,3,3,forte-1,1000,0.005,X,0.162000,1000,162,20260325_205221
APPNP,3,3,forte-1,1000,0.01,X,0.162000,1000,162,20260325_205221
APPNP,3,3,forte-1,1000,0.05,X,0.838000,1000,838,20260325_205221
GraphTransformer,3,3,forte-1,1000,0.005,X,0.186000,1000,186,20260325_205221
GraphTransformer,3,3,forte-1,1000,0.01,X,0.187000,1000,187,20260325_205221
GraphTransformer,3,3,forte-1,1000,0.05,X,0.187000,1000,187,20260325_205221
GCN,3,3,forte-1,1000,0.005,X,0.223000,1000,223,20260325_205221
GCN,3,3,forte-1,1000,0.01,X,0.266000,1000,266,20260325_205221
GCN,3,3,forte-1,1000,0.05,X,0.811000,1000,811,20260325_205221
GAT,3,3,forte-1,1000,0.005,X,0.240000,1000,240,20260325_205221
GAT,3,3,forte-1,1000,0.01,X,0.237000,1000,237,20260325_205221
GAT,3,3,forte-1,1000,0.05,X,0.212000,1000,212,20260325_205221
GNN,3,3,forte-1,1000,0.005,X,0.206000,1000,206,20260325_205221
GNN,3,3,forte-1,1000,0.01,X,0.259000,1000,259,20260325_205221
GNN,3,3,forte-1,1000,0.05,X,0.286000,1000,286,20260325_205221
GraphMamba,3,3,forte-1,1000,0.005,X,0.210000,1000,210,20260325_205221
GraphMamba,3,3,forte-1,1000,0.01,X,0.212000,1000,212,20260325_205221
GraphMamba,3,3,forte-1,1000,0.05,X,0.204000,1000,204,20260325_205221
